Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat [blocked],8,0,860,870.4401928844163,490.6714999815449,1223.194875055924,1028.75,0.04486156406151477,0.0,1100,1100,1100,1100,1200,1200,1200,1200,1200,1200,1200
POST,/chat [repeat],45,0,4800,6629.3570582936,3262.073374935426,59900.100083090365,3378.733333333333,0.2523462978460206,0.0,4800,5200,5600,5700,6900,7800,60000,60000,60000,60000,60000
POST,/chat [varied],13,0,5700,7037.517118545321,3989.0158749185503,24620.681083062664,3687.3076923076924,0.07290004159996151,0.0,5700,6000,6400,6800,7000,25000,25000,25000,25000,25000,25000
,Aggregated,66,0,4800,6011.701692536008,490.6714999815449,59900.100083090365,3154.6666666666665,0.3701079035074969,0.0,4900,5400,5600,5800,6900,7800,26000,60000,60000,60000,60000
