Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/chat [blocked],10,0,710,871.759283321444,497.0979579957202,1302.4836250115186,1028.0,0.056135747524451766,0.0,1100,1100,1100,1200,1300,1300,1300,1300,1300,1300,1300
POST,/chat [repeat],63,0,3000,3345.5610410735335,1847.7630419656634,20918.449207907543,2818.5396825396824,0.3536552094040461,0.0,3000,3300,3300,3400,3800,5200,6700,21000,21000,21000,21000
POST,/chat [varied],29,0,3700,4022.963606334966,2310.269625042565,6646.307707997039,3564.1724137931033,0.16279366782091012,0.0,3700,4400,5200,5300,6300,6600,6600,6600,6600,6600,6600
,Aggregated,102,0,3000,3295.626303966285,497.0979579957202,20918.449207907543,2854.9901960784314,0.572584624749408,0.0,3000,3300,3700,3700,5200,6000,6600,6700,21000,21000,21000
